D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
8,10,1,2,"T(1, 2, 8)",0.1029,"(1, 9)",0.3489,"(1, 8)",0.3457,"(2, 8)",0.4107,HP
8,11,1,3,"T(1, 3, 8)",0.0917,"(1, 9)",0.2935,"(1, 8)",0.3071,"(2, 8)",0.3674,HE
8,11,2,2,"T(2, 2, 8)",0.0878,"(1, 10)",0.3004,"(1, 9)",0.3249,"(3, 9)",0.4038,HE
8,12,1,4,"T(1, 4, 8)",0.0841,"(1, 9)",0.2604,"(1, 8)",0.2817,"(2, 8)",0.3379,HE
8,12,2,3,"T(2, 3, 8)",0.0781,"(1, 10)",0.2583,"(1, 9)",0.2873,"(3, 9)",0.3669,HE
8,13,1,5,"T(1, 5, 8)",0.0785,"(1, 9)",0.2382,"(1, 8)",0.2636,"(2, 8)",0.3165,HE
8,13,2,4,"T(2, 4, 8)",0.0713,"(1, 10)",0.23,"(1, 9)",0.262,"(3, 9)",0.3351,HE
8,13,3,3,"T(3, 3, 8)",0.0692,"(1, 11)",0.2266,"(1, 10)",0.2607,"(4, 10)",0.3581,HE
8,14,1,6,"T(1, 6, 8)",0.0743,"(1, 9)",0.2222,"(1, 8)",0.25,"(2, 8)",0.3004,HE
8,14,2,5,"T(2, 5, 8)",0.0664,"(1, 10)",0.2102,"(1, 9)",0.2439,"(3, 9)",0.3119,HE
8,14,3,4,"T(3, 4, 8)",0.063,"(1, 11)",0.2033,"(1, 10)",0.2384,"(4, 10)",0.3269,HE
8,15,1,7,"T(1, 7, 8)",0.071,"(1, 9)",0.21,"(1, 8)",0.2394,"(2, 8)",0.2878,HE
8,15,2,6,"T(2, 6, 8)",0.0626,"(1, 10)",0.1957,"(1, 9)",0.2302,"(3, 9)",0.2945,HE
8,15,3,5,"T(3, 5, 8)",0.0585,"(1, 11)",0.1863,"(1, 10)",0.2218,"(4, 10)",0.3028,HE
8,15,4,4,"T(4, 4, 8)",0.0572,"(1, 12)",0.1831,"(1, 11)",0.2169,"(5, 11)",0.3083,HE
8,16,1,8,"T(1, 8, 8)",0.0683,"(1, 9)",0.2005,"(1, 8)",0.2309,"(2, 8)",0.2777,HE
8,16,2,7,"T(2, 7, 8)",0.0597,"(1, 10)",0.1845,"(1, 9)",0.2195,"(3, 9)",0.2808,HE
8,16,3,6,"T(3, 6, 8)",0.055,"(1, 11)",0.1734,"(1, 10)",0.209,"(4, 10)",0.2846,HE
8,16,4,5,"T(4, 5, 8)",0.0529,"(1, 12)",0.1679,"(1, 11)",0.202,"(5, 11)",0.2879,HE
8,17,1,9,"T(1, 9, 8)",0.0661,"(1, 9)",0.1928,"(1, 8)",0.224,"(2, 8)",0.2694,HE
8,17,2,8,"T(2, 8, 8)",0.0573,"(1, 10)",0.1757,"(1, 9)",0.2108,"(3, 9)",0.2699,HE
8,17,3,7,"T(3, 7, 8)",0.0522,"(1, 11)",0.1634,"(1, 10)",0.1988,"(4, 10)",0.2704,HE
8,17,4,6,"T(4, 6, 8)",0.0496,"(1, 12)",0.1563,"(1, 11)",0.1902,"(5, 11)",0.2709,HE
8,17,5,5,"T(5, 5, 8)",0.0487,"(1, 13)",0.154,"(1, 12)",0.1858,"(6, 12)",0.2711,HE
8,18,1,10,"T(1, 10, 8)",0.0643,"(1, 9)",0.1865,"(1, 8)",0.2181,"(2, 8)",0.2625,HE
8,18,2,9,"T(2, 9, 8)",0.0553,"(1, 10)",0.1686,"(1, 9)",0.2038,"(3, 9)",0.2608,HE
8,18,3,8,"T(3, 8, 8)",0.05,"(1, 11)",0.1554,"(1, 10)",0.1906,"(4, 10)",0.2589,HE
8,18,4,7,"T(4, 7, 8)",0.047,"(1, 12)",0.1471,"(1, 11)",0.1808,"(5, 11)",0.2571,HE
8,18,5,6,"T(5, 6, 8)",0.0456,"(1, 13)",0.1432,"(1, 12)",0.1749,"(6, 12)",0.2559,HE
8,19,1,11,"T(1, 11, 8)",0.0628,"(1, 9)",0.1812,"(1, 8)",0.2132,"(2, 8)",0.2565,HE
8,19,2,10,"T(2, 10, 8)",0.0537,"(1, 10)",0.1627,"(1, 9)",0.1978,"(3, 9)",0.2533,HE
8,19,3,9,"T(3, 9, 8)",0.0482,"(1, 11)",0.1489,"(1, 10)",0.1838,"(4, 10)",0.2495,HE
8,19,4,8,"T(4, 8, 8)",0.0448,"(1, 12)",0.1398,"(1, 11)",0.1731,"(5, 11)",0.2458,HE
8,19,5,7,"T(5, 7, 8)",0.0431,"(1, 13)",0.1347,"(1, 12)",0.1661,"(6, 12)",0.2431,HE
8,19,6,6,"T(6, 6, 8)",0.0425,"(1, 14)",0.133,"(1, 13)",0.1626,"(7, 13)",0.2421,HE
8,20,1,12,"T(1, 12, 8)",0.0614,"(1, 9)",0.1767,"(1, 8)",0.2089,"(2, 8)",0.2515,HE
8,20,2,11,"T(2, 11, 8)",0.0523,"(1, 10)",0.1578,"(1, 9)",0.1928,"(3, 9)",0.2469,HE
8,20,3,10,"T(3, 10, 8)",0.0466,"(1, 11)",0.1435,"(1, 10)",0.1781,"(4, 10)",0.2417,HE
8,20,4,9,"T(4, 9, 8)",0.0431,"(1, 12)",0.1338,"(1, 11)",0.1667,"(5, 11)",0.2365,HE
8,20,5,8,"T(5, 8, 8)",0.041,"(1, 13)",0.1278,"(1, 12)",0.1588,"(6, 12)",0.2324,HE
8,20,6,7,"T(6, 7, 8)",0.04,"(1, 14)",0.1249,"(1, 13)",0.1542,"(7, 13)",0.2302,HE
